구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구cctv설치여부,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
공중화장실,진원프라자,경기도 고양시 일산동구 정발산로 27,"경기도 고양시 일산동구 정발산로 27 (장항동, 진원프라자)",N,2,3,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6569377884,126.7718356549,N,N,N,N,N,N,N,,2022-04-08
공중화장실,웨스턴돔 타워,,"경기도 고양시 일산동구 정발산로 24 (장항동, 웨스턴돔1)",N,1,2,1,0,0,0,2,1,0,일산동구청 환경녹지과,031-8075-6243,00:00~24:00,,37.6558930852,126.7719705633,N,N,N,N,N,N,N,,2022-04-08
공중화장실,호수빌딩,경기도 고양시 일산동구 정발산로 23,"경기도 고양시 일산동구 정발산로 23 (장항동, 호수빌딩)",N,13,18,0,0,0,0,14,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6567272061,126.7713048729,N,N,N,N,N,N,N,,2022-04-08
공중화장실,지평프라자,,"경기도 고양시 일산동구 정발산로 19 (장항동, 지평프라자)",N,11,11,0,0,0,0,28,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6567230023,126.7706246946,N,N,N,N,N,N,N,,2022-04-08
공중화장실,일호골든타워,,"경기도 고양시 일산동구 정발산로 11 (장항동, 일호골든타워)",N,7,7,0,0,0,0,7,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6565580392,126.7701841668,N,N,N,N,N,N,N,,2022-04-08
공중화장실,한경(알파휘트니스센터),경기도 고양시 일산동구 장백로 86,"경기도 고양시 일산동구 장백로 86 (백석동, 한경빌딩)",N,2,2,0,0,0,0,2,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6447479877,126.7844573683,N,N,N,N,N,N,N,,2022-04-08
공중화장실,크리스탈빌딩 백석동,경기도 고양시 일산동구 장백로 56,"경기도 고양시 일산동구 장백로 56 (백석동, 크리스탈빌딩)",N,10,24,0,0,0,0,20,0,0,일산동구청 환경녹지과,031-8075-6243,:~:,,37.6429685219,126.7867980942,N,N,N,N,N,N,N,,2022-04-08
공중화장실,코스트코 일산점 2층,경기도 고양시 일산동구 장백로 25,"경기도 고양시 일산동구 장백로 25 (백석동, 코스트코 일산점)",N,7,12,0,0,0,0,19,0,0,일산동구 환경녹지과,031-8075-6243,10:00~22:00,,37.6405441824,126.7883287660,N,N,N,N,N,N,N,,2022-04-08
공중화장실,코스트코 일산점 1층,경기도 고양시 일산동구 장백로 25,"경기도 고양시 일산동구 장백로 25 (백석동, 코스트코 일산점)",N,7,12,0,0,0,0,19,0,0,일산동구 환경녹지과,031-8075-6243,10:00~22:00,,37.6405441824,126.7883287660,N,N,N,N,N,N,N,,2022-04-08
공중화장실,이지로 빌딩,경기도 고양시 일산동구 장백로 206,"경기도 고양시 일산동구 장백로 206 (장항동, 이지로빌딩)",N,16,16,0,0,0,0,16,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6530432874,126.7761021764,N,N,N,N,N,N,N,,2022-04-08
공중화장실,백석레저타운,경기도 고양시 일산동구 일산로 46,경기도 고양시 일산동구 일산로 46 (일산동),N,12,29,0,0,0,0,23,0,0,일산동구청 환경녹지과 청소행정팀,031-8075-6243,:~:,,37.6423442708,126.7879035396,N,N,N,N,N,N,N,,2022-04-08
